date,통화,현찰_살때_환율,현찰_살때_Spread,현찰_팔때_환율,현찰_팔때_Spread,송금_보낼때,송금_받을때,T/C_살때,외화_수표_팔때,매매기준율,환가_료율,"미화 환산율"
1997-01-01,"미국 USD",856.86,1.5,835.76,1.5,847.5,840.9,848.42,0,844.2,6.56,1
1997-01-01,"일본 JPY (100)",733.77,1.5,715.62,1.5,730.86,722.16,731.59,0,726.51,1.49,0.8606
1997-01-01,"유로 EUR",1080.03,3,1017.13,3,1056.96,1040.2,1058.01,0,1048.58,5.18,1.2421
1997-01-01,"중국 CNY",104.78,3,98.68,3,102.54,100.92,0,0,101.73,1,0.1205
1997-01-01,"홍콩 HKD",112.4,3,105.86,3,110,108.26,0,0,109.13,6.56,0.1293
1997-01-01,"태국 THB",34.02,3,32.04,3,33.29,32.77,0,0,33.03,11.93,0.0391
1997-01-01,"싱가포르 SGD",621.04,3,584.88,3,607.78,598.14,0,0,602.96,4,0.7142
1997-01-01,"호주 AUD",692.35,3,652.03,3,677.56,666.82,678.23,0,672.19,7,0.7962
1997-01-01,"영국 GBP",1470.79,3,1385.13,3,1439.38,1416.54,1440.81,0,1427.96,7.5,1.6915
1997-01-01,"캐나다 CAD",634.62,3,597.66,3,621.06,611.22,621.68,0,616.14,4.12,0.7299
1997-01-01,"말레이시아 MYR",344.05,3,324.01,3,336.7,331.36,0,0,334.03,8.35,0.3957
1997-01-01,"노르웨이 NOK",134.95,3,127.09,3,132.06,129.98,0,0,131.02,4.66,0.1552
1997-01-01,"뉴질랜드 NZD",613.75,3,578.01,3,600.64,591.12,0,0,595.88,8.7,0.7059
1997-01-01,"덴마크 DKK",146.16,3,137.66,3,143.04,140.78,0,0,141.91,4.68,0.1681
1997-01-01,"바레인 BHD",2306.73,3,2172.37,3,2257.46,2221.64,0,0,2239.55,6.62,2.6529
1997-01-01,"사우디아라비아 SAR",231.84,3,218.34,3,226.89,223.29,0,0,225.09,6.56,0.2666
1997-01-01,"스웨덴 SEK",126.41,3,119.05,3,123.71,121.75,0,0,122.73,5.12,0.1454
1997-01-01,"스위스 CHF",644.57,3,607.03,3,630.8,620.8,0,0,625.8,2.87,0.7413
1997-01-01,"아랍에미리트공화국 AED",236.79,3,223.01,3,231.73,228.07,0,0,229.9,6.75,0.2723
1997-01-01,"인도 INR",23.72,3,22.34,3,0,0,0,0,23.03,1,0.0273
1997-01-01,"인도네시아 IDR (100)",36.83,3,34.69,3,36.04,35.48,0,0,35.76,15.5,0.0424
1997-01-01,"쿠웨이트 KWD",2897.93,3,2729.13,3,2836.03,2791.03,0,0,2813.53,8.12,3.3328
1997-01-02,"미국 USD",856.86,1.5,835.76,1.5,847.5,840.9,848.42,0,844.2,6.56,1
1997-01-02,"일본 JPY (100)",733.77,1.5,715.62,1.5,730.86,722.16,731.59,0,726.51,1.49,0.8606
1997-01-02,"유로 EUR",1080.03,3,1017.13,3,1056.96,1040.2,1058.01,0,1048.58,5.18,1.2421
1997-01-02,"중국 CNY",104.78,3,98.68,3,102.54,100.92,0,0,101.73,1,0.1205
1997-01-02,"홍콩 HKD",112.4,3,105.86,3,110,108.26,0,0,109.13,6.56,0.1293
1997-01-02,"태국 THB",34.02,3,32.04,3,33.29,32.77,0,0,33.03,11.93,0.0391
1997-01-02,"싱가포르 SGD",621.04,3,584.88,3,607.78,598.14,0,0,602.96,4,0.7142
1997-01-02,"호주 AUD",692.35,3,652.03,3,677.56,666.82,678.23,0,672.19,7,0.7962
1997-01-02,"영국 GBP",1470.79,3,1385.13,3,1439.38,1416.54,1440.81,0,1427.96,7.5,1.6915
1997-01-02,"캐나다 CAD",634.62,3,597.66,3,621.06,611.22,621.68,0,616.14,4.12,0.7299
1997-01-02,"말레이시아 MYR",344.05,3,324.01,3,336.7,331.36,0,0,334.03,8.35,0.3957
1997-01-02,"노르웨이 NOK",134.95,3,127.09,3,132.06,129.98,0,0,131.02,4.66,0.1552
1997-01-02,"뉴질랜드 NZD",613.75,3,578.01,3,600.64,591.12,0,0,595.88,8.7,0.7059
1997-01-02,"덴마크 DKK",146.16,3,137.66,3,143.04,140.78,0,0,141.91,4.68,0.1681
1997-01-02,"바레인 BHD",2306.73,3,2172.37,3,2257.46,2221.64,0,0,2239.55,6.62,2.6529
1997-01-02,"사우디아라비아 SAR",231.84,3,218.34,3,226.89,223.29,0,0,225.09,6.56,0.2666
1997-01-02,"스웨덴 SEK",126.41,3,119.05,3,123.71,121.75,0,0,122.73,5.12,0.1454
