iter	Passed	Remaining
0	75	75902
1	83	41671
2	88	29248
3	97	24169
4	107	21322
5	113	18723
6	120	17149
7	125	15507
8	128	14123
9	132	13108
10	135	12145
11	138	11418
12	141	10743
13	144	10187
14	149	9802
15	152	9353
16	155	9018
17	159	8722
18	165	8528
19	167	8222
20	175	8159
21	184	8203
22	191	8123
23	202	8234
24	207	8096
25	212	7964
26	215	7771
27	218	7595
28	221	7416
29	224	7247
30	231	7222
31	233	7064
32	237	6945
33	239	6814
34	242	6694
35	246	6599
36	248	6480
37	252	6386
38	254	6275
39	259	6219
40	261	6127
41	264	6033
42	267	5956
43	270	5867
44	272	5780
45	275	5722
46	278	5647
47	281	5579
48	284	5519
49	287	5454
50	289	5393
51	292	5337
52	295	5280
53	298	5222
54	301	5174
55	303	5120
56	307	5082
57	309	5028
58	312	4980
59	315	4940
60	317	4891
61	320	4844
62	324	4823
63	327	4791
64	331	4761
65	333	4720
66	336	4680
67	338	4645
68	341	4609
69	344	4573
70	347	4541
71	349	4505
72	352	4472
73	354	4439
74	357	4411
75	360	4380
76	363	4362
77	366	4331
78	369	4305
79	372	4279
80	374	4251
81	378	4235
82	381	4219
83	385	4202
84	390	4201
85	397	4225
86	402	4226
87	407	4218
88	410	4199
89	412	4174
90	415	4147
91	419	4139
92	422	4117
93	425	4099
94	428	4083
95	432	4071
96	436	4062
97	439	4041
98	441	4016
99	443	3994
100	446	3974
101	449	3958
102	452	3941
103	455	3921
104	458	3906
105	460	3885
106	463	3865
107	466	3855
108	469	3835
109	471	3815
110	474	3802
111	477	3784
112	480	3770
113	483	3757
114	486	3740
115	488	3721
116	492	3714
117	495	3700
118	498	3690
119	502	3684
120	505	3672
121	508	3657
122	510	3640
123	513	3631
124	516	3615
125	519	3600
126	522	3590
127	524	3576
128	528	3568
129	531	3558
130	534	3545
131	538	3538
132	541	3529
133	544	3519
134	547	3505
135	549	3492
136	552	3481
137	555	3466
138	557	3452
139	560	3443
140	563	3430
141	565	3416
142	570	3421
143	576	3424
144	580	3420
145	704	4118
146	719	4177
147	747	4300
148	755	4314
149	774	4387
150	781	4394
151	785	4380
152	787	4358
153	794	4362
154	799	4358
155	803	4344
156	807	4333
157	812	4330
158	831	4400
159	838	4400
160	850	4430
161	857	4438
162	862	4426
163	867	4419
164	869	4400
165	874	4393
166	877	4374
167	880	4359
168	883	4342
169	885	4324
170	889	4313
171	892	4297
172	897	4288
173	900	4272
174	903	4260
175	906	4245
176	909	4228
177	912	4213
178	915	4197
179	918	4186
180	923	4176
181	926	4162
182	929	4149
183	932	4134
184	937	4130
185	940	4118
186	944	4105
187	946	4089
188	950	4080
189	954	4067
190	956	4052
191	960	4041
192	963	4029
193	967	4018
194	971	4009
195	975	3999
196	978	3989
197	983	3984
198	987	3973
199	991	3966
200	996	3959
201	999	3948
202	1002	3935
203	1005	3922
204	1008	3911
205	1012	3901
206	1016	3893
207	1021	3888
208	1025	3879
209	1027	3866
210	1031	3857
211	1034	3843
212	1037	3834
213	1040	3821
214	1043	3808
215	1047	3800
216	1049	3787
217	1052	3775
218	1055	3763
219	1057	3750
220	1062	3746
221	1066	3736
222	1069	3725
223	1072	3714
224	1074	3702
225	1077	3691
226	1080	3679
227	1083	3669
228	1086	3659
229	1089	3647
230	1094	3644
231	1098	3636
232	1102	3630
233	1105	3618
234	1108	3607
235	1111	3597
236	1113	3585
237	1116	3576
238	1119	3564
239	1124	3560
240	1127	3550
241	1129	3539
242	1133	3529
243	1136	3521
244	1140	3514
245	1144	3507
246	1147	3498
247	1150	3488
248	1153	3478
249	1156	3469
250	1160	3463
251	1165	3460
252	1169	3452
253	1176	3455
254	1181	3451
255	1184	3441
256	1187	3433
257	1192	3428
258	1194	3418
259	1197	3408
260	1200	3398
261	1204	3391
262	1206	3382
263	1209	3372
264	1212	3363
265	1214	3352
266	1217	3343
267	1222	3339
268	1225	3329
269	1228	3320
270	1230	3310
271	1233	3302
272	1238	3298
273	1240	3288
274	1244	3279
275	1246	3269
276	1249	3260
277	1252	3254
278	1255	3244
279	1258	3237
280	1261	3227
281	1264	3218
282	1267	3211
283	1272	3206
284	1275	3199
285	1277	3190
286	1280	3180
287	1284	3176
288	1288	3170
289	1291	3161
290	1294	3153
291	1296	3144
292	1302	3142
293	1305	3134
294	1307	3125
295	1311	3119
296	1314	3111
297	1317	3104
298	1320	3095
299	1323	3087
300	1325	3079
301	1328	3070
302	1332	3065
303	1335	3057
304	1339	3051
305	1341	3043
306	1344	3034
307	1348	3029
308	1351	3021
309	1356	3018
310	1359	3011
311	1363	3006
312	1366	2999
313	1370	2994
